Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.000000,8.000000,7.950000,7.970000,7.635556,70200
2017-01-04,8.000000,8.130000,8.000000,8.110000,7.769681,38800
2017-01-05,8.100000,8.180000,8.100000,8.160000,7.817583,43000
2017-01-06,8.180000,8.180000,8.110000,8.120000,7.779262,30800
2017-01-09,8.160000,8.180000,8.140000,8.150000,7.808002,36100
2017-01-10,8.180000,8.200000,8.160000,8.160000,7.817583,16600
2017-01-11,8.150000,8.280000,8.120000,8.250000,7.903806,43500
2017-01-12,8.300000,8.310000,8.230000,8.280000,7.932547,36400
2017-01-13,8.280000,8.310000,8.250000,8.260000,7.913387,51000
2017-01-17,8.280000,8.380000,8.280000,8.350000,7.999610,87200
2017-01-18,8.420000,8.440000,8.300000,8.300000,7.951708,24200
2017-01-19,8.330000,8.330000,8.250000,8.260000,7.913387,29700
2017-01-20,8.340000,8.360000,8.270000,8.290000,7.942128,29200
2017-01-23,8.330000,8.370000,8.290000,8.290000,7.942128,33500
2017-01-24,8.330000,8.360000,8.300000,8.330000,7.980449,39700
2017-01-25,8.320000,8.390000,8.320000,8.390000,8.037932,30400
2017-01-26,8.410000,8.410000,8.320000,8.320000,7.970869,34700
2017-01-27,8.280000,8.380000,8.280000,8.320000,7.970869,26500
2017-01-30,8.330000,8.330000,8.190000,8.230000,7.884645,68500
2017-01-31,8.210000,8.270000,8.180000,8.250000,7.903806,39600
2017-02-01,8.350000,8.430000,8.310000,8.360000,8.009190,25100
2017-02-02,8.370000,8.390000,8.310000,8.350000,7.999610,24800
2017-02-03,8.420000,8.450000,8.360000,8.430000,8.076253,78500
2017-02-06,8.450000,8.450000,8.320000,8.330000,7.980449,60600
2017-02-07,8.370000,8.420000,8.290000,8.300000,7.951708,45600
2017-02-08,8.270000,8.390000,8.270000,8.360000,8.009190,24600
2017-02-09,8.350000,8.440000,8.350000,8.400000,8.047512,16000
2017-02-10,8.460000,8.540000,8.450000,8.510000,8.152896,33500
2017-02-13,8.600000,8.620000,8.550000,8.590000,8.229539,54600
2017-02-14,8.560000,8.650000,8.540000,8.650000,8.287020,38000
2017-02-15,8.630000,8.730000,8.630000,8.700000,8.334923,74700
2017-02-16,8.720000,8.750000,8.670000,8.720000,8.354084,51000
2017-02-17,8.620000,8.740000,8.620000,8.730000,8.363663,25200
2017-02-21,8.720000,8.870000,8.710000,8.830000,8.459468,79700
2017-02-22,8.880000,8.880000,8.760000,8.760000,8.392405,90500
2017-02-23,8.820000,8.870000,8.730000,8.730000,8.363663,128800
2017-02-24,8.680000,8.690000,8.600000,8.650000,8.287020,108400
2017-02-27,8.660000,8.660000,8.600000,8.660000,8.296602,49200
2017-02-28,8.680000,8.690000,8.590000,8.610000,8.248699,23000
2017-03-01,8.660000,8.750000,8.660000,8.700000,8.334923,38600
2017-03-02,8.650000,8.660000,8.610000,8.630000,8.267861,398500
2017-03-03,8.590000,8.690000,8.590000,8.670000,8.306182,35400
2017-03-06,8.680000,8.680000,8.600000,8.600000,8.239119,47400
2017-03-07,8.620000,8.650000,8.600000,8.620000,8.258280,14800
2017-03-08,8.670000,8.670000,8.580000,8.590000,8.229539,29200
2017-03-09,8.560000,8.580000,8.480000,8.520000,8.162476,48500
